;vac_name;vac_money_from;vac_money_to;vac_money_cur;city;employer_name;employer_url;employer_url_vacancy;addr_metro;addr_street;addr_build;addr_lng;addr_lat
86;Middle Frontend Developer / Разработчик JavaScript;145000.0;195000.0;RUR;Санкт-Петербург;Софтвайс;https://api.hh.ru/employers/4295296;https://hh.ru/vacancy/41619520;;Чкаловский проспект;50;30.299339;59.967358
87;Backend-разработчик (PHP);90000.0;130000.0;RUR;Санкт-Петербург;Creative;https://api.hh.ru/employers/1517303;https://hh.ru/vacancy/41025197;;;;;
88;PHP разработчик / PHP Developer (удаленно);120000.0;;RUR;Санкт-Петербург;Simtech Development;https://api.hh.ru/employers/570957;https://hh.ru/vacancy/39824214;;;;;
89;Web-разработчик;80000.0;200000.0;RUR;Санкт-Петербург;VERSALITY;https://api.hh.ru/employers/4727473;https://hh.ru/vacancy/41594467;;Малая Разночинная улица;;30.290491;59.958629
90;Senior PHP developer;180000.0;;RUR;Санкт-Петербург;Группа компаний eLama;https://api.hh.ru/employers/1040211;https://hh.ru/vacancy/41418570;Московские ворота;Цветочная улица;16П;30.331256;59.886338
91;Backend developer;130000.0;;RUR;Санкт-Петербург;Хедхантерс;https://api.hh.ru/employers/2967080;https://hh.ru/vacancy/40035652;Ладожская;Магнитогорская улица;51Е;30.433026;59.93937
92;Программист PHP Bitrix удаленная работа;80000.0;130000.0;RUR;Санкт-Петербург;ABC.ru;https://api.hh.ru/employers/811315;https://hh.ru/vacancy/41483952;;;;;
93;Senior Full Stack Developer / Старший Full-Stack Разработчик (PHP/JS);;200000.0;RUR;Санкт-Петербург;Хеммерсбах РУС;https://api.hh.ru/employers/1761549;https://hh.ru/vacancy/41633095;Горьковская;Певческий переулок;12;30.325094;59.95998
94;Senior Go\PHP Developer;100000.0;200000.0;RUR;Санкт-Петербург;Кодибокс Девелопмент;https://api.hh.ru/employers/4577568;https://hh.ru/vacancy/41482227;;;;;
95;Full-stack разработчик;60000.0;100000.0;RUR;Санкт-Петербург;Serenity;https://api.hh.ru/employers/93291;https://hh.ru/vacancy/41517422;;;;;
96;Разработчик Bitrix Framework (middle);60000.0;110000.0;RUR;Санкт-Петербург;Студия Веб Анатомия;https://api.hh.ru/employers/2966908;https://hh.ru/vacancy/41427862;;19-я линия Васильевского острова;32к5лит3;30.25622;59.939433
97;Tech Lead PHP;;300000.0;RUR;Санкт-Петербург;FBS Inc.;https://api.hh.ru/employers/681575;https://hh.ru/vacancy/41650030;;;;;
